frame No., R_Subscapularis, R_Abductor_Pollicis_Longus, L_Adductor_Brevis, R_Adductor_Brevis, L_Adductor_Longus, R_Adductor_Longus, L_Adductor_Magnus, R_Adductor_Magnus, L_Anconeous, R_Anconeous, L_Bicep_Brachii_Long_Head, R_Bicep_Brachii_Long_Head, L_Bicep_Brachii_Short_Head, R_Bicep_Brachii_Short_Head, L_Bicep_Femoris_Longus, R_Bicep_Femoris_Longus, L_Bicep_Femoris_Short, R_Bicep_Femoris_Short, L_Brachialis, R_Brachialis, L_Brachioradialis, R_Brachioradialis, L_Coracobrachialis, R_Coracobrachialis, L_Deltoid, R_Deltoid, L_Extensor_Carpi_Radialis_Longus, R_Extensor_Carpi_Radialis_Longus, L_Extensor_Carpi_Ulnaris, R_Extensor_Carpi_Ulnaris, L_Extensor_Digiti_Minimi, R_Extensor_Digiti_Minimi, L_Extensor_Digitorum_Longus, R_Extensor_Digitorum_Longus, L_Extensor_Hallucis_Longus, R_Extensor_Hallucis_Longus, L_Extensor_Pollicis_Brevis, R_Extensor_Pollicis_Brevis, L_Extensor_Pollicis_Longus, R_Extensor_Pollicis_Longus, L_Flexor_Carpi_Radialis, R_Flexor_Carpi_Radialis, L_Flexor_Carpi_Ulnaris, R_Flexor_Carpi_Ulnaris, L_Flexor_Digiti_Minimi_Brevis_Foot, R_Flexor_Digiti_Minimi_Brevis_Foot, L_Flexor_Digitorum_Longus, R_Flexor_Digitorum_Longus, L_Flexor_Hallucis, R_Flexor_Hallucis, L_Flexor_Pollicis_Longus, R_Flexor_Pollicis_Longus, L_Gastrocnemius_Lateral_Head, R_Gastrocnemius_Lateral_Head, L_Gastrocnemius_Medial_Head, R_Gastrocnemius_Medial_Head, L_Gluteus_Maximus, R_Gluteus_Maximus, L_Gluteus_Medius, R_Gluteus_Medius, L_Gluteus_Minimus, R_Gluteus_Minimus, L_Gracilis, R_Gracilis, L_Inferior_Gemellus, R_Inferior_Gemellus, L_Latissimus_Dorsi, R_Latissimus_Dorsi, L_Longissimus_Thoracis, R_Longissimus_Thoracis, L_Multifidus, R_Multifidus, L_Obturator_Externus, R_Obturator_Externus, L_Obturator_Internus, R_Obturator_Internus, L_Omohyoid, R_Omohyoid, L_Palmaris_Longus, R_Palmaris_Longus, L_Pectineus, R_Pectineus, L_Pectoralis_Major, R_Pectoralis_Major, L_Peroneus_Brevis, R_Peroneus_Brevis, L_Peroneus_Longus, R_Peroneus_Longus, L_Peroneus_Tertius, R_Peroneus_Tertius, L_Piriformis, R_Piriformis, L_Plantaris, R_Plantaris, L_Popliteus, R_Popliteus, L_Psoas_Major, R_Psoas_Major, L_Psoas_Minor, R_Psoas_Minor, L_Quadratus_Femoris, R_Quadratus_Femoris, L_Rectus_Femoris, R_Rectus_Femoris, L_Rhomboid_Minor, R_Rhomboid_Minor, L_Sartorius, R_Sartorius, L_Semimembranosus, R_Semimembranosus, L_Semitendinosus, R_Semitendinosus, L_Soleus, R_Soleus, L_Splenius_Cervicis, R_Splenius_Cervicis, L_Subclavian, R_Subclavian, L_Superior_Gemellus, R_Superior_Gemellus, L_Supraspinatus, R_Supraspinatus, L_Tensor_Fascia_Lata, R_Tensor_Fascia_Lata, L_Teres_Major, R_Teres_Major, L_Tibialis_Anterior, R_Tibialis_Anterior, L_Tibialis_Posterior, R_Tibialis_Posterior, L_Triceps_Lateral_Head, R_Triceps_Lateral_Head, L_Triceps_Long_Head, R_Triceps_Long_Head, L_Triceps_Medial_Head, R_Triceps_Medial_Head, L_Vastus_Intermedius, R_Vastus_Intermedius, L_Vastus_Lateralis, R_Vastus_Lateralis, L_Vastus_Medialis, R_Vastus_Medialis, L_iliacus, R_iliacus, L_iliocostalis, R_iliocostalis, L_Serratus_Posterior_Inferior, R_Serratus_Posterior_Inferior, L_Transversus_Abdominis, R_Transversus_Abdominis, L_Trapezius, R_Trapezius, 
0, 0.0562053, 0, 0, 0, 0, 0, 0, 0, 0.00182796, 0, 0, 0, 0.0134949, 0.0149784, 0, 0, 0.00412744, 0.0059236, 0, 0.0174376, 0, 0, 0.0261189, 0, 0, 0, 0.0308376, 0.0151573, 0, 0, 0, 0, 0.0124496, 0.101082, 0, 0.0430811, 0, 0, 0.008593, 0, 0, 0, 0.00129673, 0, 0, 0, 0.0151306, 0.122357, 0, 0, 0.00739886, 0, 0.125477, 0.0479685, 0.344736, 0.132161, 0.0322599, 0.0958392, 0.15646, 0.466813, 0.136243, 0.244993, 0.0062941, 0, 0, 0, 0.0320513, 0.0105508, 0.0389543, 0.0617581, 0.0566541, 0.0491423, 0.0197094, 0.0212636, 0.0737581, 0.100114, 0, 0.0129032, 0, 0, 0, 0, 0.0107023, 0, 0, 0, 0, 0, 0.0422029, 0.340727, 0.036187, 0.0617517, 0, 0, 0, 0, 0.126941, 0.199984, 0, 0.150484, 0, 0, 0.305275, 0.452124, 0.111069, 0.0167407, 0.18225, 0.218443, 0, 0, 0, 0, 0.0646332, 0, 0.00911197, 0.00943477, 0, 0.0195723, 0.0214182, 0.0131851, 0.069455, 0.0667067, 0.0865802, 0.122232, 0, 0, 0.159934, 0.257419, 0, 0.313002, 0, 0, 0.00635444, 0, 0.0123138, 0, 0, 0, 0, 0, 0, 0, 0.141024, 0.123015, 0.0937689, 0.0193921, 0.13577, 0.00956488, 0.0677643, 0.0253157, 0.0609852, 0.0675023, 
0, 0.0384787, 0, 0, 0, 0, 0, 0, 0, 0.0110981, 0, 0, 0, 0.0213109, 0, 0, 0, 0.000283517, 0.0120679, 0, 0, 0, 0, 0.0325933, 0, 0, 0, 0.00862766, 0.0172605, 0, 0, 0.00451815, 0, 0.0852579, 0.172474, 0, 0.0835986, 0, 0, 0, 0, 0, 0, 0.0107581, 0, 0, 0, 0, 0.0529397, 0, 0, 0.0161084, 0, 0.0593234, 0.12987, 0.211061, 0.333326, 0.0324392, 0.0652847, 0.206571, 0.413986, 0.121331, 0.225019, 0, 0.0193856, 0, 0, 0.0349422, 0.0300676, 0.061437, 0.096131, 0.117505, 0.110826, 0, 0.00829099, 0.0349498, 0.0723509, 0, 0.0564743, 0, 0, 0, 0, 0.0151117, 0, 0, 0, 0, 0, 0.128465, 0.398911, 0.0207381, 0.02846, 0, 0, 0, 0, 0.137801, 0.162318, 0, 0.0167865, 0, 0, 0.254235, 0.384124, 0.10539, 0.0206256, 0.0855199, 0.20919, 0, 0, 0, 0, 0.00288979, 0, 0.0291878, 0, 0.00413269, 0.0835797, 0.00528788, 0, 0.0269617, 0.149423, 0.0577911, 0.117003, 0, 0, 0.231223, 0.190208, 0, 0.177673, 0, 0.0198926, 0.00860014, 0, 0.0221629, 0.0269655, 0, 0, 0, 0, 0, 0, 0.0881248, 0.136826, 0.032668, 0.0475661, 0.00635277, 0.0445086, 0.0707801, 0.0456501, 0.0467856, 0.0661615, 
0, 0.0830912, 0, 0, 0, 0, 0, 0, 0, 0.0192007, 0, 0, 0, 0.0471983, 0, 0, 0, 6.94841e-05, 0.0126517, 0, 0, 0, 0, 0.0578936, 0, 0, 0, 0.00540665, 0, 0, 0, 0, 0, 0.0280988, 0.142044, 0, 0.071812, 0, 0, 0.00658779, 0, 0, 0, 0.00582315, 0, 0, 0, 0.0243227, 0.0839942, 0, 0, 0.00159024, 0, 0.0551507, 0.124237, 0.188829, 0.332565, 0.0355705, 0.0576606, 0.224003, 0.370071, 0.126933, 0.203071, 0, 0.0148721, 0, 0, 0.0443037, 0.0358545, 0.0886914, 0.118845, 0.179549, 0.186913, 0, 0.000941162, 0.0299053, 0.0601631, 0, 0.0419897, 0, 0, 0, 0, 0.011647, 0, 0, 0, 0, 0, 0.137255, 0.394218, 0.021047, 0.0280841, 0, 0, 0, 0, 0.109643, 0.179624, 0, 0.0580662, 0, 0, 0.269918, 0.331133, 0.114616, 0.012184, 0.0840678, 0.193893, 0, 0, 0, 0, 0.0338477, 0, 0, 0, 0, 0.129126, 0, 0, 0.0321438, 0.118729, 0.0624295, 0.105547, 0, 0, 0.239308, 0.241029, 0.021821, 0.275278, 0, 0.0177771, 0.0165267, 0, 0.0222028, 0.0205552, 0, 0, 0, 0, 0, 0, 0.0793087, 0.119138, 0.0253941, 0.016269, 0.0105161, 0, 0.0992128, 0.088421, 0.0711566, 0.0721844, 
0, 0.0792792, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00668358, 0, 0.0327981, 0, 0, 0, 0.00154838, 0.0122154, 0, 0, 0, 0, 0.0350801, 0, 0, 0, 0.0205799, 0, 0, 0, 0, 0, 0.0610365, 0.159295, 0, 0.0800944, 0, 0, 0, 0, 0, 0, 0.00188324, 0, 0, 0, 0.00875332, 0.0706483, 0, 0, 0.0243086, 0, 0.0527661, 0.127196, 0.18278, 0.332438, 0.0363433, 0.0539246, 0.234101, 0.336946, 0.127401, 0.185474, 0, 0.0195982, 0, 0, 0.0420098, 0.0420733, 0.0891083, 0.126855, 0.204259, 0.198709, 0, 0, 0.0267424, 0.0558023, 0, 0.0510141, 0, 0, 0, 0, 0.0120839, 0, 0, 0, 0, 0, 0.155125, 0.405663, 0.0197356, 0.0248366, 0, 0, 0, 0, 0.119687, 0.155053, 0, 0.0287595, 0, 0, 0.253892, 0.305824, 0.125271, 0.0150475, 0.0777517, 0.180732, 0, 0, 0, 0, 0.0122547, 0, 0.00328979, 0, 0, 0.15057, 0, 0, 0.024798, 0.131334, 0.0584108, 0.0961691, 0, 0, 0.241609, 0.235444, 0.0362732, 0.25248, 0, 0.0198171, 0.00920257, 0, 0, 0.0252858, 0, 0, 0, 0, 0, 0, 0.0725946, 0.113883, 0.0177794, 0.0222715, 0, 0, 0.10027, 0.0993101, 0.0594792, 0.0748087, 
0, 0.0784652, 0, 0, 0, 0, 0, 0, 0, 0.0188293, 0, 0, 0, 0.0291409, 0, 0, 0, 0, 0.012971, 0, 0, 0, 0, 0.0375699, 0, 0, 0, 0.00157304, 0, 0, 0, 0.00380073, 0, 0.117197, 0.152908, 0, 0.0832746, 0, 0, 0.00494857, 0, 0, 0, 0.00709756, 0, 0, 0, 0, 0.0767752, 0, 0, 0.00164835, 0, 0.0465808, 0.117801, 0.174041, 0.324951, 0.0368185, 0.0477178, 0.245218, 0.304807, 0.130286, 0.165543, 0, 0.0204412, 0, 0, 0.0409235, 0.0409588, 0.095068, 0.126493, 0.231605, 0.222349, 0, 0, 0.0236716, 0.0461204, 0, 0.0400589, 0, 0, 0, 0, 0.0125901, 0, 0, 0, 0, 0, 0.166221, 0.405289, 0.0157958, 0.0198331, 0, 0, 0, 0, 0.111509, 0.156246, 0, 0.0413165, 0, 0, 0.256129, 0.279841, 0.115697, 0.0100552, 0.076621, 0.165012, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.164284, 0, 0, 0.0224287, 0.100158, 0.0596726, 0.0874982, 0, 0, 0.213837, 0.261185, 0.010154, 0.277563, 0, 0.0222465, 0.0136227, 0, 0.024861, 0.0286544, 0, 0, 0, 0, 0, 0, 0.0683258, 0.103113, 0.0221179, 0.00742872, 0, 0, 0.105141, 0.11515, 0.0664978, 0.0735202, 
0, 0.0777565, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00535494, 0, 0.0181828, 0, 0, 0, 0, 0.0140215, 0, 0, 0, 0, 0.0177019, 0, 0, 0, 0.0233371, 0, 0, 0, 0, 0, 0.166207, 0.159795, 0.00458155, 0.0870308, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0722868, 0, 0, 0.0191741, 0, 0.0207986, 0.114904, 0.132559, 0.311372, 0.0378866, 0.0431745, 0.25427, 0.276517, 0.126702, 0.147226, 0, 0.0211527, 0, 0, 0.0397627, 0.0426661, 0.0958502, 0.128616, 0.228775, 0.232412, 0, 0, 0.0211971, 0.0401582, 0, 0.0435779, 0, 0, 0, 0, 0.0126247, 0, 0, 0, 0.0311763, 0, 0.100104, 0.408784, 0.0127882, 0.0174666, 0, 0, 0, 0, 0.103192, 0.148275, 0, 0.0405042, 0, 0, 0.248706, 0.259452, 0.120672, 0.0118838, 0.0687663, 0.14769, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.163097, 0, 0, 0.0185272, 0.0949543, 0.0579542, 0.0778539, 0, 0, 0.391529, 0.253574, 0, 0.275074, 0, 0.019738, 0.00513342, 0, 0, 0.0267504, 0, 0, 0, 0, 0, 0, 0.0607386, 0.093628, 0.010064, 0.0165444, 0, 0, 0.10687, 0.115355, 0.0597264, 0.0723241, 
0, 0.0715024, 0, 0, 0, 0, 0, 0, 0, 0.0150117, 0, 0, 0, 0.00869768, 0, 0, 0, 0, 0.0133653, 0, 0, 0, 0, 0.0119262, 0, 0, 0, 0.00350207, 0, 0, 0, 0.0044604, 0, 0.190583, 0.152208, 0.0115301, 0.0880994, 0, 0, 0.00503897, 0, 0, 0, 0.00600093, 0.000998908, 0.000845056, 0, 0, 0.0770614, 0, 0, 0, 0, 0, 0.104639, 0.0920398, 0.30159, 0.0391379, 0.0374381, 0.260305, 0.251068, 0.123808, 0.132813, 0, 0.0234302, 0, 0, 0.0366932, 0.0410725, 0.0971107, 0.125394, 0.238359, 0.234722, 0, 0, 0.0193644, 0.0337971, 0, 0.0355486, 0, 0, 0, 0, 0.0125353, 0, 0, 0, 0.0837227, 0, 0.0222085, 0.398868, 0.00831615, 0.0139583, 0, 0, 0, 0, 0.0949331, 0.143872, 0, 0.0369407, 0, 0, 0.253419, 0.242383, 0.112369, 0.00964253, 0.0630627, 0.140346, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.165234, 0, 0, 0.0193928, 0.0709243, 0.0566402, 0.0702205, 0.00722849, 0, 0.553574, 0.272873, 0, 0.284265, 0.00372879, 0.0221856, 0.00583909, 0, 0.0264363, 0.0278686, 0, 0, 0, 0, 0, 0, 0.0523586, 0.0883502, 0.0170975, 0.00739493, 0, 0, 0.1041, 0.120113, 0.0628291, 0.0699071, 
0, 0.0711305, 0, 0, 0, 0, 0.00236703, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0138304, 0, 0, 0, 0, 0, 0, 0, 0, 0.0212317, 0, 0, 0, 0.000193561, 0, 0.193025, 0.152492, 0, 0.084155, 0, 0, 0, 0, 0, 0, 0.000109642, 0, 0, 0, 0, 0.0735818, 0, 0, 0.0146166, 0, 0, 0.102555, 0.0511052, 0.284961, 0.0395711, 0.0349892, 0.26625, 0.227622, 0.120122, 0.121728, 0, 0.027032, 0, 0, 0.0345976, 0.0411094, 0.0929725, 0.124964, 0.232292, 0.232142, 0, 0, 0.0166142, 0.0313816, 0, 0.0356395, 0, 0, 0, 0, 0.0122457, 0, 0, 0, 0.16327, 0, 0, 0.393474, 0.00497507, 0.0157599, 0, 0, 0, 0, 0.0910467, 0.136302, 0, 0.0314281, 0, 0, 0.250211, 0.229287, 0.114623, 0.0107035, 0.0535615, 0.129823, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.159479, 0, 0, 0.0150932, 0.0590721, 0.0535196, 0.0650339, 0.0245832, 0, 0.811059, 0.267239, 0, 0.276937, 0, 0.0195588, 0, 0, 0.000648249, 0.025012, 0, 0, 0, 0, 0, 0, 0.0458106, 0.0814135, 0.00937763, 0.0155461, 0, 0, 0.103029, 0.116314, 0.0579863, 0.0680546, 
0, 0.0133261, 0, 0, 0.0199022, 0, 0.0521719, 0, 0, 0.0162173, 0, 0, 0, 0.00531545, 0, 0, 0, 0, 0.0108328, 0, 0, 0, 0, 0.00515322, 0, 0, 0.000373709, 0, 0, 0, 0, 0.00349086, 0, 0, 0.159997, 0, 0.0857886, 0, 0, 0, 0, 0, 0, 0.0120213, 0.00730467, 0, 0, 0.00947011, 0.0718691, 0, 0, 0.0181145, 0, 0, 0.0656708, 0, 0.196196, 0.0618375, 0.0115859, 0.456269, 0.0953736, 0.184859, 0.0722406, 0, 0.0516424, 0, 0, 0.0523526, 0.0390634, 0.085552, 0.113748, 0.141742, 0.225522, 0, 0, 0.0181507, 0.00991471, 0, 0.0402729, 0, 0, 0, 0, 0.0167776, 0, 0, 0, 0, 0, 0, 0.425247, 0.0101426, 0.00466658, 0, 0, 0, 0, 0.00276666, 0.222914, 0, 0.182756, 0, 0, 0.428353, 0.156687, 0.123303, 0.0119175, 0.0810382, 0.0698767, 0, 0, 0, 0, 0.0579693, 0, 0, 0, 0, 0.145105, 0, 0, 0, 0, 0.09633, 0.0394439, 0.0394823, 0, 0.5104, 0.254206, 0, 0.276947, 0.000516711, 0.0115373, 0.00325156, 0, 0.0273538, 0.00609449, 0.00650266, 0, 0.0446451, 0, 0.00913595, 0, 0.0505501, 0.0545089, 0.0499026, 0, 0.0414283, 0, 0.0731418, 0.123205, 0.0764314, 0.0856485, 
0, 0.0944697, 0, 0, 0.0106354, 0, 0.0311226, 0, 0, 0, 0, 0.00227962, 0, 0, 0, 0, 0, 0, 0.00465693, 0, 0, 0, 0, 0, 0, 0, 0, 0.0201592, 0, 0, 0, 0.00171938, 0, 0, 0.140158, 0, 0.0879477, 0, 0, 0, 0, 0, 0, 0.00367338, 0.00153813, 0, 0, 0.064242, 0.0757024, 0, 0, 0.0215279, 0, 0, 0.0609163, 0.049559, 0.180277, 0.0807878, 0.015827, 0.428802, 0.109374, 0.210552, 0.0714996, 0, 0.0438504, 0, 0, 0.0358254, 0.0472678, 0.0812615, 0.138781, 0.212714, 0.198479, 0.00496029, 0, 0.0530558, 0.00675932, 0, 0.0326195, 0, 0, 0, 0, 0.0131407, 0, 0, 0, 0, 0, 0, 0.393948, 0.0323829, 0.00299713, 0, 0, 0, 0, 0.0936379, 0.123838, 0.014222, 0.0379206, 0, 0, 0.406775, 0.165553, 0.140876, 0.00808013, 0.106378, 0.0759216, 0, 0, 0, 0, 0.0463154, 0, 0.00568898, 0, 0, 0.174057, 0, 0, 0.00145928, 0.081504, 0.0988559, 0.0369404, 0.0470281, 0, 0.289072, 0.291808, 0, 0.231571, 0, 0.0124002, 0, 0, 0.00103052, 0.0115847, 0, 0, 0.00075719, 0, 0, 0, 0.0777052, 0.0567057, 0.0405604, 0.0198108, 0, 0.0622575, 0.0709387, 0.133324, 0.0637128, 0.0815162, 
