frame No., R_Subscapularis, R_Abductor_Pollicis_Longus, L_Adductor_Brevis, R_Adductor_Brevis, L_Adductor_Longus, R_Adductor_Longus, L_Adductor_Magnus, R_Adductor_Magnus, L_Anconeous, R_Anconeous, L_Bicep_Brachii_Long_Head, R_Bicep_Brachii_Long_Head, L_Bicep_Brachii_Short_Head, R_Bicep_Brachii_Short_Head, L_Bicep_Femoris_Longus, R_Bicep_Femoris_Longus, L_Bicep_Femoris_Short, R_Bicep_Femoris_Short, L_Brachialis, R_Brachialis, L_Brachioradialis, R_Brachioradialis, L_Coracobrachialis, R_Coracobrachialis, L_Deltoid, R_Deltoid, L_Extensor_Carpi_Radialis_Longus, R_Extensor_Carpi_Radialis_Longus, L_Extensor_Carpi_Ulnaris, R_Extensor_Carpi_Ulnaris, L_Extensor_Digiti_Minimi, R_Extensor_Digiti_Minimi, L_Extensor_Digitorum_Longus, R_Extensor_Digitorum_Longus, L_Extensor_Hallucis_Longus, R_Extensor_Hallucis_Longus, L_Extensor_Pollicis_Brevis, R_Extensor_Pollicis_Brevis, L_Extensor_Pollicis_Longus, R_Extensor_Pollicis_Longus, L_Flexor_Carpi_Radialis, R_Flexor_Carpi_Radialis, L_Flexor_Carpi_Ulnaris, R_Flexor_Carpi_Ulnaris, L_Flexor_Digiti_Minimi_Brevis_Foot, R_Flexor_Digiti_Minimi_Brevis_Foot, L_Flexor_Digitorum_Longus, R_Flexor_Digitorum_Longus, L_Flexor_Hallucis, R_Flexor_Hallucis, L_Flexor_Pollicis_Longus, R_Flexor_Pollicis_Longus, L_Gastrocnemius_Lateral_Head, R_Gastrocnemius_Lateral_Head, L_Gastrocnemius_Medial_Head, R_Gastrocnemius_Medial_Head, L_Gluteus_Maximus, R_Gluteus_Maximus, L_Gluteus_Medius, R_Gluteus_Medius, L_Gluteus_Minimus, R_Gluteus_Minimus, L_Gracilis, R_Gracilis, L_Inferior_Gemellus, R_Inferior_Gemellus, L_Latissimus_Dorsi, R_Latissimus_Dorsi, L_Longissimus_Thoracis, R_Longissimus_Thoracis, L_Multifidus, R_Multifidus, L_Obturator_Externus, R_Obturator_Externus, L_Obturator_Internus, R_Obturator_Internus, L_Omohyoid, R_Omohyoid, L_Palmaris_Longus, R_Palmaris_Longus, L_Pectineus, R_Pectineus, L_Pectoralis_Major, R_Pectoralis_Major, L_Peroneus_Brevis, R_Peroneus_Brevis, L_Peroneus_Longus, R_Peroneus_Longus, L_Peroneus_Tertius, R_Peroneus_Tertius, L_Piriformis, R_Piriformis, L_Plantaris, R_Plantaris, L_Popliteus, R_Popliteus, L_Psoas_Major, R_Psoas_Major, L_Psoas_Minor, R_Psoas_Minor, L_Quadratus_Femoris, R_Quadratus_Femoris, L_Rectus_Femoris, R_Rectus_Femoris, L_Rhomboid_Minor, R_Rhomboid_Minor, L_Sartorius, R_Sartorius, L_Semimembranosus, R_Semimembranosus, L_Semitendinosus, R_Semitendinosus, L_Soleus, R_Soleus, L_Splenius_Cervicis, R_Splenius_Cervicis, L_Subclavian, R_Subclavian, L_Superior_Gemellus, R_Superior_Gemellus, L_Supraspinatus, R_Supraspinatus, L_Tensor_Fascia_Lata, R_Tensor_Fascia_Lata, L_Teres_Major, R_Teres_Major, L_Tibialis_Anterior, R_Tibialis_Anterior, L_Tibialis_Posterior, R_Tibialis_Posterior, L_Triceps_Lateral_Head, R_Triceps_Lateral_Head, L_Triceps_Long_Head, R_Triceps_Long_Head, L_Triceps_Medial_Head, R_Triceps_Medial_Head, L_Vastus_Intermedius, R_Vastus_Intermedius, L_Vastus_Lateralis, R_Vastus_Lateralis, L_Vastus_Medialis, R_Vastus_Medialis, L_iliacus, R_iliacus, L_iliocostalis, R_iliocostalis, L_Serratus_Posterior_Inferior, R_Serratus_Posterior_Inferior, L_Transversus_Abdominis, R_Transversus_Abdominis, L_Trapezius, R_Trapezius, 
0, 0, 0, 0, 0, 0, 0, 0.0133354, 0, 0.0219293, 0, 0, 0, 0, 0.0390389, 0, 0, 0.00903201, 0, 0, 0.126112, 0, 0, 0, 0.0313111, 0.0183257, 0.0109201, 0, 0.113215, 0, 0, 0, 0, 0.00547045, 0.358722, 0.0172609, 0.27488, 0, 0, 0.0558023, 0, 0, 0, 0.0364372, 0, 0.00420947, 0.00411553, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0299813, 0.116552, 0.101199, 0.479187, 0.0464945, 0.108435, 0, 0, 0, 0, 0.065764, 0.0198534, 0.375596, 0.202668, 0.621851, 0.468357, 0, 0, 0, 0, 0.104588, 0.0297036, 0, 0, 0, 0.0135873, 0.0325175, 0.0197732, 0, 0, 0.0573197, 0, 0, 0.342181, 0, 0.0157509, 0, 0, 0, 0, 0, 0.252094, 0, 0.491655, 0, 0, 0.0697422, 0.203746, 0.216148, 0, 0, 0, 0, 0.0458333, 0, 0.0398118, 0.0164389, 0, 0, 0.0162373, 0, 0.0401036, 0, 0, 0, 0.122293, 0.00478179, 0.0823619, 0.16919, 0, 0.262559, 0.368151, 0, 0, 0, 0, 0, 0, 0.178551, 0, 0.0162175, 0.0217107, 0.0299077, 0.0891619, 0.00260153, 0.0399476, 0.00362067, 0, 0, 0, 0.00570229, 0.0906038, 0.227454, 0.34689, 0.0768125, 0.0740537, 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0283853, 0, 0, 0.0451769, 0, 0, 0, 0, 0, 0, 0.0319498, 0.0199759, 0.00226415, 0.0062375, 0.0194223, 0, 0, 0, 0, 0.00755585, 0.100432, 0, 0.0365878, 0, 0, 0.0065882, 0.00847034, 0, 0, 0.0182967, 0, 0.0028059, 0, 0, 0.0154557, 0, 0, 0, 0, 0.127098, 0.0187423, 0.165831, 0.233011, 0.035645, 0.105963, 0.130662, 0.379612, 0.0987044, 0.144437, 0, 0, 0, 0, 0.045177, 0.0164169, 0.405992, 0.297567, 0.744985, 0.647154, 0, 0.01063, 0, 0.0633443, 0.068119, 0.0981371, 0, 0, 0, 0, 0.0397699, 0.0189476, 0, 0, 0.0386011, 0, 0, 0.212907, 0, 0.0347969, 0.0100265, 0, 0, 0, 0.0270764, 0.246992, 0, 0.3973, 0, 0, 0.100636, 0.242316, 0.116867, 0, 0.114996, 0.106961, 0, 0, 0, 0, 0.0150297, 0, 0, 0.0160959, 0, 0.046204, 0, 0.0235431, 0.0155397, 0.0291965, 0.0444409, 0.100866, 0.182899, 0.0191784, 0.179587, 0, 0, 0.194436, 0, 0.0128007, 0, 0, 0.0314633, 0.0341314, 0, 0, 0, 0, 0, 0, 0.019362, 0.0572571, 0, 0.0121323, 0.0114977, 0.0697302, 0.269668, 0.410338, 0.0757809, 0.0696384, 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0382029, 0, 0, 0, 0.0519209, 0, 0, 0.0343899, 0, 0, 0, 0, 0.00990856, 0.00212974, 0, 0.0403695, 0, 0, 0, 0, 0.0187584, 0.10958, 0.020457, 0.0394156, 0, 0, 0.0194414, 0, 0, 0, 0.0260946, 0, 0.000101463, 0, 0, 0.019958, 0, 0, 0, 0, 0.195079, 0.100317, 0.263897, 0.351949, 0.0402654, 0.0859539, 0.133505, 0.344477, 0.116101, 0.140173, 0, 0, 0, 0, 0.0524988, 0.0211303, 0.454465, 0.308033, 0.913788, 0.84349, 0, 0.0241704, 0.0251933, 0.0604439, 0.0661605, 0.0491241, 0, 0, 0, 0, 0.0305281, 0, 0, 0, 0.0328793, 0, 0.0280974, 0.255988, 0, 0.0326663, 0.0201191, 0, 0, 0, 0.0470484, 0.30073, 0, 0.349026, 0, 0, 0.127471, 0.26098, 0.22071, 0, 0.203025, 0.148387, 0, 0, 0, 0, 0.00214796, 0, 0, 0.00391766, 0, 0.0991825, 0, 0.0216129, 0.0226522, 0.0647497, 0.0589925, 0.118529, 0.112063, 0, 0.0978795, 0.118175, 0.00309803, 0.0759096, 0, 0, 0.0316121, 0, 0.0238493, 0, 0, 0, 0, 0, 0, 0, 0.0226734, 0.0773618, 0, 0, 0.00257435, 0.0619346, 0.340159, 0.486839, 0.0717027, 0.0868738, 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00129056, 0, 0.0220642, 0, 0, 0, 0.0547521, 0, 0.0240591, 0, 0, 0, 0, 0.00333776, 0.022305, 0.00141374, 0.0262873, 0.0165551, 0, 0, 0, 0, 0.0184631, 0.114558, 0.0108256, 0.0274386, 0, 0, 0.000672658, 0.0110825, 0, 0, 0, 0, 0.00260977, 0, 0.0077529, 0.0298857, 0, 0, 0, 0, 0.21516, 0.117711, 0.305081, 0.345688, 0.0381642, 0.0795802, 0.135646, 0.312464, 0.112376, 0.131987, 0, 0, 0, 0, 0.050465, 0.0297568, 0.500678, 0.308512, 0.952774, 0.902409, 0, 0.0291303, 0.0236474, 0.0696191, 0.0735814, 0.0738629, 0, 0, 0, 0, 0.0287031, 0, 0, 0, 0.00407334, 0, 0.0521208, 0.289512, 0, 0.0320115, 0.0244431, 0, 0, 0, 0.0561743, 0.306041, 0.0353767, 0.307428, 0, 0, 0.112926, 0.286284, 0.23881, 0, 0.20798, 0.160443, 0, 0, 0, 0, 0.00268586, 0, 0, 0.0039252, 0, 0.0945106, 0, 0.0214032, 0.0391683, 0.0393752, 0.0545081, 0.119749, 0.0479464, 0, 0.0532901, 0.0920799, 0.0151476, 0.157551, 0, 0.00792525, 0.0216931, 0, 0, 0.0150235, 0, 0, 0, 0, 0, 0, 0.0230076, 0.0891198, 0, 0, 0, 0.069721, 0.387555, 0.508434, 0.0723568, 0.0908932, 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.000175604, 0, 0.0300843, 0, 0, 0, 0.0532496, 0, 0.00864586, 0, 0, 0, 0, 0, 0.0244912, 0.00264763, 0.0145608, 0.0134649, 0, 0, 0, 0, 0.0253312, 0.131536, 0.0309783, 0.0414559, 0, 0, 0.0114758, 0.00773491, 0, 0, 0.0082314, 0.0037225, 0.000749648, 0, 0.00704732, 0.0280886, 0, 0, 0, 0, 0.231099, 0.115594, 0.317653, 0.337227, 0.0386602, 0.0710616, 0.13419, 0.288858, 0.104929, 0.12059, 0, 0, 0, 0, 0.0533245, 0.0396666, 0.525675, 0.332039, 0.972438, 0.940593, 0, 0.0292905, 0.0193978, 0.0646285, 0.0603165, 0.058246, 0, 0, 0, 0, 0.025082, 0, 0, 0, 0, 0, 0.0819125, 0.319094, 0, 0.0291975, 0.0267388, 0, 0, 0, 0.0496707, 0.315889, 0.0519713, 0.303301, 0, 0, 0.094914, 0.29254, 0.280259, 0, 0.192946, 0.160529, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.146477, 0, 0.0174971, 0.0395656, 0.0431689, 0.0447313, 0.119601, 0.013544, 0, 0.0283763, 0.134025, 0.0393703, 0.132838, 0, 0.00401218, 0.0288404, 0, 0, 0.00756897, 0, 0, 0, 0, 0, 0, 0.0185849, 0.0907677, 0, 0, 0, 0.0531348, 0.419972, 0.519082, 0.0758904, 0.102637, 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00718295, 0, 0.0182532, 0, 0, 0, 0.0499261, 0, 0.0295059, 0, 0, 0, 0, 0, 0.0273867, 0.00192034, 0.034243, 0.00754262, 0, 0, 0, 0, 0.0209426, 0.134439, 0.0254498, 0.0413281, 0, 0, 0, 0.0146056, 0, 0, 0, 0.0064773, 0.0010128, 0, 0.0106956, 0.0363533, 0, 0, 0, 0, 0.230353, 0.102231, 0.308822, 0.308269, 0.039974, 0.0653281, 0.131661, 0.267587, 0.0915481, 0.112552, 0, 0, 0, 0, 0.0524052, 0.045847, 0.545771, 0.336353, 0.978521, 0.951189, 0, 0.0291627, 0.00794847, 0.0649207, 0.0671706, 0.0639019, 0, 0, 0, 0, 0.022986, 0, 0, 0, 0, 0, 0.0963884, 0.335746, 0, 0.0279011, 0.0292178, 0, 0, 0, 0.0335393, 0.309229, 0.0882029, 0.27356, 0, 0, 0.0650382, 0.285912, 0.295308, 0, 0.150746, 0.156904, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.17157, 0, 0.0171537, 0.0447464, 0.0428119, 0.0316926, 0.114915, 0, 0, 0.0238603, 0.135427, 0.0450126, 0.171153, 0, 0.0148453, 0.018408, 0, 0, 0.0213115, 0, 0, 0, 0, 0, 0, 0.012598, 0.0895757, 0, 0, 0, 0.0577072, 0.440042, 0.518693, 0.0755116, 0.104409, 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00397082, 0, 0.0174615, 0, 0, 0, 0.0461989, 0, 0.0161469, 0, 0, 0, 0, 0, 0.0287265, 0.00387203, 0.0279226, 0.000272162, 0, 0, 0, 0, 0.0190604, 0.14343, 0.0255695, 0.0467943, 0, 0, 0.00427727, 0.0150563, 0, 0, 0, 0.0122207, 0, 0, 0.0102606, 0.0342366, 0, 0, 0, 0, 0.231757, 0.0931863, 0.298766, 0.293107, 0.0412285, 0.0600259, 0.128435, 0.247661, 0.0791354, 0.104186, 0, 0, 0, 0, 0.05118, 0.0502854, 0.555005, 0.350991, 0.981553, 0.958368, 0, 0.0302062, 0, 0.0631826, 0.0578564, 0.0587644, 0, 0, 0, 0, 0.0213051, 0, 0, 0, 0, 0, 0.110597, 0.346288, 0, 0.0267877, 0.0321504, 0, 0, 0, 0.0172592, 0.306229, 0.106852, 0.263504, 0, 0, 0.0374625, 0.278299, 0.303299, 0, 0.116299, 0.148948, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.189943, 0, 0.0178109, 0.0454687, 0.0312925, 0.0196659, 0.110305, 0, 0, 0.0225758, 0.148467, 0.0576415, 0.160026, 0, 0.0156724, 0.0196235, 0, 0, 0.0212373, 0, 0, 0, 0, 0, 0, 0.006768, 0.0877856, 0, 0, 0, 0.0486931, 0.454282, 0.515071, 0.0762143, 0.10701, 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00889196, 0, 0.0140464, 0, 0, 0, 0.0422078, 0, 0.0240392, 0, 0, 0, 0, 0, 0.0307205, 0.00375037, 0.0350696, 0, 0, 0, 0, 0, 0.0195049, 0.142542, 0.0265021, 0.045916, 0, 0, 0, 0.0181619, 0, 0, 0, 0.0111697, 0, 0, 0.0125777, 0.0387264, 0, 0, 0, 0, 0.231119, 0.0826617, 0.2891, 0.274078, 0.0408671, 0.0548753, 0.123904, 0.23031, 0.0678586, 0.0972263, 0, 0, 0, 0, 0.0501753, 0.0529595, 0.559773, 0.351165, 0.982319, 0.959415, 0, 0.0304316, 0, 0.0624563, 0.0608942, 0.0585868, 0, 0, 0, 0, 0.0202695, 0, 0, 0, 0, 0, 0.128278, 0.350317, 0, 0.0256957, 0.0326727, 0, 0, 0, 0.0096051, 0.299103, 0.125523, 0.243939, 0, 0, 0.0133316, 0.268862, 0.308802, 0, 0.095058, 0.14122, 0.00221269, 0, 0, 0, 0, 0, 0, 0, 0, 0.1972, 0, 0.0184932, 0.0466985, 0.0265993, 0.0102282, 0.105336, 0, 0, 0.0362276, 0.153996, 0.073543, 0.176014, 0, 0.0179285, 0.0144026, 0, 0, 0.0223653, 0, 0, 0, 0, 0, 0, 0.00253965, 0.0848298, 0, 0, 0, 0.0501353, 0.46164, 0.509664, 0.0750769, 0.105951, 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00777953, 0, 0.0131661, 0, 0, 0, 0.041518, 0, 0.0175749, 0, 0, 0, 0, 0, 0.0329436, 0.00451476, 0.0338051, 0, 0, 0, 0, 0, 0.0205809, 0.144161, 0.0239109, 0.0462385, 0, 0, 0, 0.0204047, 0, 0, 0, 0.0163554, 0, 0, 0.0187239, 0.0377456, 0, 0, 0, 0, 0.233909, 0.0751904, 0.286751, 0.261786, 0.0398864, 0.0499036, 0.117141, 0.21475, 0.061057, 0.0907137, 0, 0, 0, 0, 0.0490463, 0.054406, 0.56301, 0.355126, 0.982974, 0.960838, 0, 0.0306612, 0, 0.060578, 0.0562619, 0.0561269, 0, 0, 0, 0, 0.0195707, 0, 0, 0, 0, 0, 0.142201, 0.350935, 0, 0.0243724, 0.0355504, 0, 0, 0, 0.00569225, 0.297029, 0.133525, 0.233127, 0, 0, 0.00155238, 0.260821, 0.310887, 0, 0.0816253, 0.133373, 0.0146332, 0, 0, 0, 0, 0, 0, 0, 0, 0.198183, 0, 0.0188516, 0.0469214, 0.0147983, 0.00478395, 0.100067, 0, 0, 0.0413293, 0.157827, 0.0917203, 0.169502, 0, 0.0199344, 0.0148136, 0, 0, 0.0244851, 0, 0, 0, 0, 0, 0, 0, 0.0838819, 0, 0, 0, 0.0449055, 0.468271, 0.502838, 0.0750667, 0.105844, 
0, 0, 0, 0, 0, 0, 0.00214627, 0.000261512, 0, 0, 0, 0.0102014, 0, 0.0121825, 0, 0, 0, 0.0410015, 0, 0.021414, 0, 0, 0, 0, 0, 0.0342612, 0.00444892, 0.0360014, 0, 0, 0, 0, 0, 0.0198541, 0.141524, 0.0209494, 0.0433599, 0, 0, 0, 0.0222609, 0, 0, 0, 0.0175357, 0.000309051, 0, 0.0254831, 0.0400989, 0, 0, 0, 0, 0.239044, 0.0683485, 0.288617, 0.250259, 0.0390535, 0.0461543, 0.109951, 0.199349, 0.054265, 0.0859834, 0, 0, 0, 0, 0.0482255, 0.0558645, 0.564185, 0.352529, 0.982857, 0.960105, 0, 0.0314624, 0, 0.0613667, 0.0564281, 0.0552502, 0, 0, 0, 0, 0.0192497, 0, 0, 0, 0, 0, 0.150895, 0.347325, 0, 0.0239989, 0.0386171, 0, 0, 0, 0.00401443, 0.292624, 0.144525, 0.214845, 0, 0, 0, 0.255431, 0.314672, 0, 0.0719286, 0.130876, 0.0341061, 0, 0, 0, 0, 0, 0, 0, 0, 0.200865, 0, 0.020186, 0.0472436, 0.0106582, 0.0032676, 0.0960263, 0, 0, 0.0462533, 0.158064, 0.101175, 0.172339, 0, 0.0205485, 0.0132425, 0, 0, 0.0239654, 0, 0, 0, 0, 0, 0, 0, 0.084781, 0, 0, 0, 0.0438884, 0.472794, 0.495397, 0.0739142, 0.105117, 
